video,start,end,players,video_stop
2_1256_back3,3.12,12.24,"[0, 1, 2, 6]",12
6_171834_back1,0.82,10.13,"[0, 1, 8, 5]",11
3_78910_back3,1.16,27.83,"[0, 1, 4, 11]",29
5_781314_back5,0.58,5.7,"[0, 1, 3, 4]",6
4_9101112_back1,5.59,10.32,"[0, 1, 5, 10]",11
2_1256_back5,1.96,23.38,"[0, 3, 1, 2]",24
1_1234_back2,1.53,18.03,"[0, 1, 3, 6]",19
2_1256_back4,0.76,9.01,"[0, 8, 1, 2]",10
5_781314_back2,4.25,8.01,"[0, 1, 2, 7]",10
3_78910_back1,1.48,27.04,"[8, 2, 0, 1]",28
2_1256_back1,2.65,12.34,"[7, 8, 4, 0]",14
4_9101112_back5,1.71,5.01,"[0, 1, 2, 7]",7
4_9101112_back3,0.14,4.18,"[0, 1, 4, 5]",6
4_9101112_back4,0.0,8.88,"[0, 11, 8, 4]",10
2_1256_back2,3.71,15.6,"[0, 2, 3, 1]",17
4_9101112_back6,1.96,21.74,"[0, 11, 9, 5]",24
3_78910_back4,1.65,2.9,"[0, 1, 3, 4]",5
1_1234_back3,4.08,20.24,"[1, 17, 20, 19]",22
6_171834_back3,1.58,10.96,"[0, 1, 2, 5]",12
1_1234_back5,4.37,12.31,"[0, 1, 4, 2]",13
6_171834_back4,2.65,8.8,"[0, 8, 1, 3]",10
1_1234_back4,8.42,14.03,"[0, 2, 1, 3]",15
5_781314_back1,0.05,11.42,"[0, 2, 1, 6]",13
6_171834_back2,0.15,8.95,"[1, 0, 2, 5]",10
6_171834_back5,3.11,9.34,"[0, 2, 1, 5]",10
1_1234_back1,2.49,6.96,"[3, 7, 0, 5]",8
3_78910_back2,2.17,10.92,"[0, 7, 1, 6]",12
7_1_2_9_10_back2,1.53,5.75,"[0, 3, 1, 6]",7
5_781314_back3,1.02,7.8,"[0, 1, 9, 2]",9
